Rank,Name,Ticker,Weight
1,TESLA INC,TSLA,9.38
2,SPACE EXPLORATION TECHN-CL A,SPCX,6.51
3,TEMPUS AI INC-CL A,TEM,6.16
4,CIRCLE INTERNET GROUP INC,CRCL,4.86
5,CRISPR THERAPEUTICS AG,CRSP,4.73
6,COINBASE GLOBAL INC -CLASS A,COIN,4.21
7,ROBINHOOD MARKETS INC - A,HOOD,3.87
8,TWIST BIOSCIENCE CORP,TWST,3.71
9,10X GENOMICS INC-CLASS A,TXG,3.43
10,SHOPIFY INC - CLASS A,SHOP,2.88
11,ADVANCED MICRO DEVICES,AMD,2.67
12,PALANTIR TECHNOLOGIES INC-A,PLTR,2.6
13,CEREBRAS SYSTEMS INC - A,CBRS,2.55
14,COREWEAVE INC-CL A,CRWV,2.44
15,NVIDIA CORP,NVDA,2.44
16,BEAM THERAPEUTICS INC,BEAM,2.35
17,AMAZON.COM INC,AMZN,2.3
18,BLOCK INC,XYZ,2.3
19,BULLISH,BLSH,2.07
20,META PLATFORMS INC-CLASS A,META,1.9500000000000002
21,BITMINE IMMERSION TECHNOLOGI,BMNR,1.83
22,BROADCOM INC,AVGO,1.62
23,INTELLIA THERAPEUTICS INC,NTLA,1.53
24,ALPHABET INC-CL C,GOOG,1.48
25,GENEDX HOLDINGS CORP,WGS,1.47
26,CLOUDFLARE INC - CLASS A,NET,1.37
27,ILLUMINA INC,ILMN,1.21
28,ARCHER AVIATION INC-A,ACHR,1.16
29,NATERA INC,NTRA,1.12
30,X-ENERGY INC,XE,1.1
31,RECURSION PHARMACEUTICALS-A,RXRX,1.06
32,ROCKET LAB,RKLB,1.05
33,TAIWAN SEMICONDUCTOR-SP ADR,TSM,0.98
34,KRATOS DEFENSE & SECURITY,KTOS,0.97
35,TERADYNE INC,TER,0.89
36,BWX TECHNOLOGIES INC,BWXT,0.8
37,VERACYTE INC,VCYT,0.75
38,SOFI TECHNOLOGIES INC,SOFI,0.55
39,ELI LILLY & CO,LLY,0.48
40,CERUS CORP,CERS,0.36
41,ARK ACTIVE AUTOCALL INC ETF,ARKY,0.31
42,PACIFIC BIOSCIENCES OF CALIF,PACB,0.26
