Name,Ticker,Exchange
Nvidia,NVDA,NASDAQ
Apple,AAPL,NASDAQ
Alphabet (Class A),GOOGL,NASDAQ
Microsoft,MSFT,NASDAQ
Amazon,AMZN,NASDAQ
JPMorgan Chase,JPM,NYSE
Walmart,WMT,NASDAQ
Visa,V,NYSE
Johnson & Johnson,JNJ,NYSE
Cisco,CSCO,NASDAQ
Chevron,CVX,NYSE
Coca-Cola,KO,NYSE
Caterpillar,CAT,NYSE
Merck,MRK,NYSE
UnitedHealth Group,UNH,NYSE
Procter & Gamble,PG,NYSE
Home Depot,HD,NYSE
Goldman Sachs,GS,NYSE
IBM,IBM,NYSE
American Express,AXP,NYSE
Amgen,AMGN,NASDAQ
Salesforce,CRM,NYSE
Disney,DIS,NYSE
McDonald's,MCD,NYSE
Boeing,BA,NYSE
3M,MMM,NYSE
Sherwin-Williams,SHW,NYSE
Travelers,TRV,NYSE
Honeywell Technologies,HON,NASDAQ
Nike,NKE,NYSE
