Name,Ticker,Exchange
Nvidia,NVDA,NASDAQ
Apple Inc.,AAPL,NASDAQ
Alphabet Inc. (Class C),GOOG,NASDAQ
Alphabet Inc. (Class A),GOOGL,NASDAQ
Microsoft,MSFT,NASDAQ
Amazon,AMZN,NASDAQ
SpaceX,SPCX,NASDAQ
Broadcom,AVGO,NASDAQ
Meta Platforms,META,NASDAQ
"Tesla, Inc.",TSLA,NASDAQ
Micron Technology,MU,NASDAQ
Advanced Micro Devices,AMD,NASDAQ
Walmart,WMT,NASDAQ
ASML Holding,ASML,NASDAQ
Intel,INTC,NASDAQ
Cisco,CSCO,NASDAQ
Palantir Technologies,PLTR,NASDAQ
Costco,COST,NASDAQ
Lam Research,LRCX,NASDAQ
Applied Materials,AMAT,NASDAQ
"Netflix, Inc.",NFLX,NASDAQ
Palo Alto Networks,PANW,NASDAQ
Arm Holdings,ARM,NASDAQ
Sandisk,SNDK,NASDAQ
Texas Instruments,TXN,NASDAQ
CrowdStrike,CRWD,NASDAQ
KLA Corporation,KLAC,NASDAQ
Marvell Technology,MRVL,NASDAQ
Linde plc,LIN,NASDAQ
Amgen,AMGN,NASDAQ
Seagate Technology,STX,NASDAQ
Qualcomm,QCOM,NASDAQ
Gilead Sciences,GILD,NASDAQ
Analog Devices,ADI,NASDAQ
T-Mobile US,TMUS,NASDAQ
PepsiCo,PEP,NASDAQ
Shopify,SHOP,NASDAQ
Western Digital,WDC,NASDAQ
Intuitive Surgical,ISRG,NASDAQ
Vertex Pharmaceuticals,VRTX,NASDAQ
Booking Holdings,BKNG,NASDAQ
Fortinet,FTNT,NASDAQ
PDD Holdings,PDD,NASDAQ
Starbucks,SBUX,NASDAQ
Automatic Data Processing,ADP,NASDAQ
AppLovin,APP,NASDAQ
Airbnb,ABNB,NASDAQ
Adobe Inc.,ADBE,NASDAQ
Mercado Libre,MELI,NASDAQ
Constellation Energy,CEG,NASDAQ
Marriott International,MAR,NASDAQ
Monster Beverage,MNST,NASDAQ
CSX Corporation,CSX,NASDAQ
DoorDash,DASH,NASDAQ
Lumentum,LITE,NASDAQ
Datadog,DDOG,NASDAQ
Intuit,INTU,NASDAQ
Regeneron Pharmaceuticals,REGN,NASDAQ
Comcast,CMCSA,NASDAQ
Cintas,CTAS,NASDAQ
Cadence Design Systems,CDNS,NASDAQ
Mondelez International,MDLZ,NASDAQ
Synopsys,SNPS,NASDAQ
Ross Stores,ROST,NASDAQ
Warner Bros. Discovery,WBD,NASDAQ
O'Reilly Automotive,ORLY,NASDAQ
Honeywell Technologies,HON,NASDAQ
American Electric Power,AEP,NASDAQ
MicroStrategy,MSTR,NASDAQ
Paccar,PCAR,NASDAQ
Nebius Group,NBIS,NASDAQ
Monolithic Power Systems,MPWR,NASDAQ
Teradyne,TER,NASDAQ
NXP Semiconductors,NXPI,NASDAQ
Baker Hughes,BKR,NASDAQ
Fastenal,FAST,NASDAQ
Diamondback Energy,FANG,NASDAQ
Astera Labs,ALAB,NASDAQ
Honeywell Aerospace,HONA,NASDAQ
"Workday, Inc.",WDAY,NASDAQ
Autodesk,ADSK,NASDAQ
Xcel Energy,XEL,NASDAQ
CoreWeave,CRWV,NASDAQ
PayPal,PYPL,NASDAQ
Coca-Cola Europacific Partners,CCEP,NASDAQ
Exelon,EXC,NASDAQ
Keurig Dr Pepper,KDP,NASDAQ
Paychex,PAYX,NASDAQ
Rocket Lab,RKLB,NASDAQ
Thomson Reuters,TRI,NASDAQ
Idexx Laboratories,IDXX,NASDAQ
Microchip Technology,MCHP,NASDAQ
Take-Two Interactive,TTWO,NASDAQ
Roper Technologies,ROP,NASDAQ
Axon Enterprise,AXON,NASDAQ
Old Dominion Freight Line,ODFL,NASDAQ
DexCom,DXCM,NASDAQ
Alnylam Pharmaceuticals,ALNY,NASDAQ
GE HealthCare,GEHC,NASDAQ
Copart,CPRT,NASDAQ
Ferrovial,FER,NASDAQ
